date_time,count,running_total
4/1/22,24,21177
5/1/22,3,21180
6/1/22,9,21189
7/1/22,38,21227
8/1/22,5,21232
9/1/22,38,21270
10/1/22,48,21318
11/1/22,222,21540
12/1/22,103,21643
13/1/22,91,21734
14/1/22,85,21819
15/1/22,18,21837
16/1/22,45,21882
17/1/22,20,21902
18/1/22,22,21924
20/1/22,3,21927
21/1/22,20,21947
22/1/22,7,21954
23/1/22,3,21957
24/1/22,10,21967
25/1/22,14,21981
27/1/22,5,21986
28/1/22,8,21994
29/1/22,6,22000
30/1/22,1,22001
1/2/22,21,22022
2/2/22,1,22023
3/2/22,2,22025
4/2/22,33,22058
5/2/22,17,22075
6/2/22,3,22078
7/2/22,24,22102
8/2/22,18,22120
9/2/22,12,22132
10/2/22,28,22160
11/2/22,49,22209
12/2/22,3,22212
13/2/22,2,22214
14/2/22,4,22218
15/2/22,26,22244
16/2/22,1,22245
17/2/22,11,22256
18/2/22,7,22263
19/2/22,51,22314
20/2/22,7,22321
