date_time,count,running_total
24/12/18,25,8338
25/12/18,39,8377
26/12/18,130,8507
27/12/18,58,8565
28/12/18,49,8614
29/12/18,28,8642
31/12/18,42,8684
1/1/19,14,8698
2/1/19,37,8735
3/1/19,4,8739
4/1/19,1,8740
5/1/19,3,8743
7/1/19,52,8795
8/1/19,19,8814
9/1/19,23,8837
10/1/19,30,8867
11/1/19,8,8875
12/1/19,79,8954
13/1/19,14,8968
14/1/19,27,8995
15/1/19,102,9097
16/1/19,49,9146
17/1/19,32,9178
18/1/19,67,9245
19/1/19,53,9298
20/1/19,56,9354
21/1/19,16,9370
22/1/19,5,9375
23/1/19,36,9411
24/1/19,20,9431
25/1/19,54,9485
26/1/19,31,9516
27/1/19,6,9522
28/1/19,12,9534
29/1/19,20,9554
30/1/19,17,9571
31/1/19,17,9588
1/2/19,24,9612
2/2/19,48,9660
3/2/19,59,9719
4/2/19,39,9758
5/2/19,15,9773
6/2/19,46,9819
7/2/19,28,9847
8/2/19,13,9860
9/2/19,18,9878
10/2/19,69,9947
11/2/19,2,9949
13/2/19,17,9966
14/2/19,24,9990
15/2/19,47,10037
16/2/19,9,10046
17/2/19,56,10102
18/2/19,100,10202
20/2/19,12,10214
21/2/19,7,10221
23/2/19,5,10226
24/2/19,1,10227
25/2/19,5,10232
26/2/19,2,10234
27/2/19,5,10239
28/2/19,7,10246
1/3/19,7,10253
5/3/19,4,10257
6/3/19,1,10258
7/3/19,17,10275
8/3/19,10,10285
9/3/19,5,10290
11/3/19,2,10292
12/3/19,8,10300
13/3/19,1,10301
14/3/19,1,10302
15/3/19,22,10324
16/3/19,14,10338
17/3/19,12,10350
18/3/19,10,10360
19/3/19,17,10377
20/3/19,7,10384
21/3/19,4,10388
22/3/19,13,10401
24/3/19,1,10402
25/3/19,2,10404
30/3/19,1,10405
1/4/19,18,10423
2/4/19,16,10439
3/4/19,17,10456
5/4/19,20,10476
6/4/19,6,10482
7/4/19,1,10483
8/4/19,7,10490
9/4/19,7,10497
10/4/19,18,10515
11/4/19,16,10531
12/4/19,3,10534
13/4/19,7,10541
14/4/19,8,10549
15/4/19,7,10556
16/4/19,2,10558
17/4/19,3,10561
18/4/19,1,10562
19/4/19,3,10565
20/4/19,7,10572
21/4/19,14,10586
22/4/19,10,10596
23/4/19,2,10598
24/4/19,20,10618
25/4/19,3,10621
26/4/19,3,10624
27/4/19,5,10629
28/4/19,16,10645
29/4/19,32,10677
30/4/19,4,10681
1/5/19,9,10690
2/5/19,14,10704
3/5/19,12,10716
5/5/19,2,10718
6/5/19,8,10726
7/5/19,12,10738
8/5/19,7,10745
9/5/19,5,10750
10/5/19,3,10753
11/5/19,5,10758
12/5/19,7,10765
13/5/19,15,10780
14/5/19,4,10784
15/5/19,4,10788
16/5/19,2,10790
17/5/19,3,10793
18/5/19,13,10806
19/5/19,15,10821
20/5/19,2,10823
21/5/19,13,10836
22/5/19,7,10843
23/5/19,6,10849
24/5/19,130,10979
